"year","name","type"
1981,"The Cast of Sesame Street","performer"
1982,"Milton Berle","performer"
1982,"Ricky Schroder","performer"
1982,"Laura Branigan","performer"
1982,"Andy Gibb","performer"
1982,"The Oak Ridge Boys","performer"
1982,"Paul Williams","performer"
1982,"Keith Carradine","performer"
1982,"Deniece Williams","performer"
1982,"Shelley Bruce","performer"
1982,"Sammy Davis Jr.","performer"
1982,"Peter Nero","performer"
1982,"Wayland Flowers","performer"
1982,"Jim Henson","performer"
1982,"Tina Yothers","performer"
1982,"Show of Hands USA","performer"
1982,"The National Dance Institute","performer"
1982,"Lorne Greene","performer"
1982,"Benji","performer"
1982,"Captain Haggerty","performer"
1982,"Herb Vigran","performer"
1982,"The Cast of Sesame Street","performer"
1983,"Charlie Pride","performer"
1983,"The Cast of We Got It Made","performer"
1983,"The Special Olympics","performer"
1983,"Peter Billingsley","performer"
1983,"Lynn Anderson","performer"
1983,"The Ballet Folklorico","performer"
1983,"Ashford & Simpson","performer"
1983,"Alfonso Ribeiro","performer"
1983,"Mr. Smith","performer"
1983,"Leonard Frey","performer"
1983,"Walter Lantz","performer"
1983,"Gracie Lantz","performer"
1983,"Glenn Scarpelli","performer"
1983,"Eddie Albert","performer"
1983,"Vanessa Williams","performer"
1983,"Lou Rawls","performer"
1983,"The Boys Choir of Harlem","performer"
1983,"Tommy Tune","performer"
1983,"Twiggy","performer"
1983,"Mary Jo Catlett","performer"
1984,"Dionne Warwick","performer"
1984,"Robert Vaughn","performer"
1984,"The United States Coast Guard Academy Glee Club","performer"
1984,"Georgia Engel","performer"
1984,"Joey Lawrence","performer"
1984,"John Schneider","performer"
1984,"John Ratzenberger","performer"
1984,"Irene Cara","performer"
1984,"Marie Osmond","performer"
1984,"Danny Cooksey","performer"
1984,"Florence Henderson","performer"
1984,"Ronald McDonald","performer"
1984,"Judy Landers","performer"
1984,"Audrey Landers","performer"
1984,"Jane Badler","performer"
1984,"Marc Singer","performer"
1984,"Dom DeLuise","performer"
1984,"The Stars of Riptide","performer"
1984,"James Sikking","performer"
1984,"Daniel J. Travanti","performer"
1984,"Bruce Weitz","performer"
1984,"Rich Little","performer"
1984,"Placido Domingo","performer"
1984,"The Wyatt Brothers","performer"
1984,"Tim Conway","performer"
1984,"Kaye Ballard","performer"
1985,"Janie Fricke","performer"
1985,"Woody Herman & the Young Thundering Herd","performer"
1985,"Susan Akin","performer"
1985,"The Cast of Big River","performer"
1985,"Betty Thomas","performer"
1985,"New Edition","performer"
1985,"Philip Michael Thomas","performer"
1985,"Teddy Pendergrass","performer"
1985,"James Coco","performer"
1985,"Lee Greenwood","performer"
1985,"Allison Smith","performer"
1985,"Tony Bennett","performer"
1985,"Steven Furst","performer"
1985,"Rue McClanahan","performer"
1985,"William Daniels","performer"
1985,"Show of Hands USA","performer"
1985,"Phylicia Ayers-Allen","performer"
1985,"The Cosby Show Kids","performer"
1985,"Rosemary Clooney,","performer"
1986,"Crystal Gayle","performer"
1986,"Victor French","performer"
1986,"Robert Merrill","performer"
1986,"Up with People","performer"
1986,"Amy Grant","performer"
1986,"Keith Hernandez","performer"
1986,"Lee Mazzilli","performer"
1986,"Mookie Wilson","performer"
1986,"The Four Tops","performer"
1986,"The Cast of Beehive","performer"
1986,"Phyllis Diller","performer"
1986,"Hank Cheyne","performer"
1986,"Ed Fry","performer"
1986,"Laurence Lau","performer"
1986,"Victoria Jackson","performer"
1986,"Celeste Holm","performer"
1986,"John James","performer"
1986,"Sawyer Brown","performer"
1986,"Dick Van Patten","performer"
1986,"Pat Van Patten","performer"
1986,"Dottie West","performer"
1986,"Joey Lawrence","performer"
1986,"Matthew Lawrence","performer"
1986,"Roger Miller","performer"
1986,"Rex Smith","performer"
1986,"Shirley Jones","performer"
1987,"Ronald McDonald","performer"
1987,"Kale Browne","performer"
1987,"Rita Coolidge","performer"
1987,"Joel Grey","performer"
1987,"Alaina Reed-Hall","performer"
1987,"Bert Parks","performer"
1987,"Bob Smith","performer"
1987,"Jim Henson and Kermit the Frog","performer"
1987,"Bobby Vinton","performer"
1987,"Bruce Weitz","performer"
1987,"Saundra Santiago","performer"
1987,"John Tesh","performer"
1987,"Gloria Loring","performer"
1987,"President Ronald Reagan","performer"
1987,"Ed Fry","performer"
1987,"David Forsyth","performer"
1987,"Michael Damian","performer"
1987,"Tiffany","performer"
1987,"Ben Vereen","performer"
1987,"Christopher Hewett","performer"
1987,"Seaworld Characters","performer"
1987,"Judy Kaye","performer"
1987,"Patrick Swayze","performer"
1987,"Phylicia Rashad","performer"
1987,"Jill Schulz","performer"
1987,"Barbie and the Sensations","performer"
1988,"Tim Dunigan","performer"
1988,"Robin Leach","performer"
1988,"Judith Ledford","performer"
1988,"Roberta Flack","performer"
1988,"The Cast of Sesame Street","performer"
1988,"Tanya Tucker","performer"
1988,"Frankie Valli","performer"
1988,"The Taffetas","performer"
1988,"Christopher Daniel Barnes","performer"
1988,"The Boys Choir of Harlem","performer"
1988,"Janet Evans","performer"
1988,"Florence Griffith-Joyner","performer"
1988,"Jackie Joyner-Kersee","performer"
1988,"Carl Lewis","performer"
1988,"Peter Allen","performer"
1988,"Fred Travalena","performer"
