"balloon","version_num","years_active","sponsor","designer","height","length","width","weight","helium_volume","handlers","type","manufacturer","designers","handling_lines"
"The Goops",1,"1930","Macy's","Tony Sarg",NA,NA,NA,NA,NA,NA,"Giant Balloons","Goodyear Tire and Rubber Company",NA,NA
"The Grinch",1,"1997, 2002 (Main Parade), 2002-2004 (Universal)","Determined Productions (1997)Universal Orlando Resort (2002)","Manfred Bass",NA,NA,NA,NA,NA,NA,"Giant Balloons",NA,NA,NA
"The Grinch",2,"2017-2019","Illumination Entertainment","Zoro Rodriguez","37 feet","49 feet","24 feet",NA,NA,"90","Giant Balloons",NA,NA,NA
"The Inspector",1,"1929","King Features Syndicate","Tony Sarg",NA,NA,NA,NA,NA,NA,"Giant Balloons","Goodyear Tire and Rubber Company",NA,NA
"The Katzenjammer Kids",1,"1929-1930","King Features Syndicate","Tony Sarg",NA,NA,NA,NA,NA,NA,"Giant Balloons","Goodyear Tire and Rubber Company",NA,NA
"The Marx Brothers",1,"1935","Macy's","Tony Sarg","15 feet",NA,NA,NA,NA,NA,"Giant Balloons","Goodyear Tire and Rubber Company",NA,NA
"The Marx Brothers",2,"2003-2004, 2006","Macy's",NA,NA,NA,NA,NA,NA,NA,"Giant Balloons",NA,NA,NA
"The Tin Man",1,"1939","Metro Goldwyn Mayer",NA,"57 feet",NA,NA,NA,"5,000 cubic ft.",NA,"Giant Balloons","Goodyear Tire and Rubber Company",NA,NA
"The Tin Man",2,"1947-1948","Metro Goldwyn Mayer",NA,NA,NA,NA,NA,NA,NA,"Giant Balloons",NA,NA,NA
"The Turk",1,"1929, 1931-1932","Macy's","Tony Sarg",NA,NA,NA,NA,NA,NA,"Giant Balloons","Goodyear Tire and Rubber Company",NA,NA
"The Wizard of Oz",1,"1939","Metro Goldwyn Mayer",NA,NA,NA,NA,NA,NA,NA,"Giant Balloons",NA,NA,NA
"The Wizard of Oz",2,"1939","Metro Goldwyn Mayer",NA,NA,NA,NA,NA,NA,NA,"Giant Balloons",NA,NA,NA
"The Wizard of Oz",3,"1939","Metro Goldwyn Mayer",NA,NA,NA,NA,NA,NA,NA,"Giant Balloons",NA,NA,NA
